代码,名称,层级,成本价,持仓量,买入日期
002156,通富微电,观察,,,
002185,华天科技,观察,,,
002371,北方华创,观察,,,
002409,雅克科技,观察,,,
300604,长川科技,观察,,,
300666,江丰电子,观察,,,
600584,长电科技,观察,,,
603005,晶方科技,观察,,,
603893,瑞芯微,观察,,,
603986,兆易创新,观察,,,
688008,澜起科技,观察,,,
688012,中微公司,观察,,,
688072,拓荆科技,观察,,,
688082,盛美上海,观察,,,
688120,华海清科,观察,,,
688138,清溢光电,观察,,,
688200,华峰测控,观察,,,
688249,晶合集成,观察,,,
688521,芯原股份,观察,,,
688702,盛科通信,观察,,,
