代码,名称,层级,成本价,持仓量,买入日期
002281,光迅科技,观察,,,
002897,意华股份,观察,,,
003031,中瓷电子,观察,,,
300308,中际旭创,观察,,,
300394,天孚通信,观察,,,
300502,新易盛,观察,,,
300563,神宇股份,观察,,,
300570,太辰光,观察,,,
301165,锐捷网络,观察,,,
600487,亨通光电,观察,,,
600498,烽火通信,观察,,,
688313,仕佳光子,观察,,,
