代码,名称,层级,成本价,持仓量,买入日期
002384,东山精密,观察,,,
002463,沪电股份,观察,,,
002484,江海股份,观察,,,
002916,深南电路,观察,,,
600183,生益科技,观察,,,
603186,华正新材,观察,,,
603228,景旺电子,观察,,,
