代码,名称,层级,成本价,持仓量,买入日期
000400,许继电气,观察,,,
002028,思源电气,观察,,,
002441,众业达,观察,,,
600406,国电南瑞,观察,,,
601877,正泰电器,观察,,,
603191,望变电气,观察,,,
688676,金盘科技,观察,,,
