代码,名称,层级,成本价,持仓量,买入日期
002407,多氟多,观察,,,
002802,洪汇新材,观察,,,
600160,巨化股份,观察,,,
603004,鼎龙科技,观察,,,
603379,三美股份,观察,,,
605020,永和股份,观察,,,
